1,ADA,EUR,N,10.0,0.8363,0.02,0.005,0.1,1,2022-04-18 15:35:09
51,ADA,EUR,Y,10.0,0.876,0.05,0.01,0.1,0,2022-01-01 00:00:00
38,ADA,EUR,Y,25.0,0.9537,0.025,0.005,0.1,2,2022-04-11 00:53:53
7,ADA,EUR,Y,10.0,0.99136,0.03,0.0075,0.1,1,2022-04-06 18:43:56
8,ADA,EUR,Y,10.0,0.9928,0.02,0.005,0.1,3,2022-04-06 20:25:44
43,ADA,EUR,Y,25.0,1.01,0.025,0.005,0.1,0,2022-01-01 00:00:00
5,ADA,EUR,Y,25.0,1.02,0.04,0.0075,0.1,4,2022-04-06 16:02:50
6,ADA,EUR,Y,25.0,1.034,0.035,0.005,0.1,2,2022-04-01 17:13:28
44,ADA,EUR,Y,25.0,1.04,0.03,0.005,0.1,0,2022-01-01 00:00:00
45,ADA,EUR,Y,25.0,1.05,0.025,0.005,0.1,3,2022-01-01 00:00:00
45,ADA,EUR,Y,25.0,1.05,0.025,0.005,0.1,0,2022-01-01 00:00:00
46,ADA,EUR,Y,25.0,1.055,0.025,0.0075,0.1,0,2022-01-01 00:00:00
4,ADA,EUR,Y,10.0,1.0638,0.03,0.0075,0.1,4,2022-04-06 02:16:01
3,ADA,EUR,Y,10.0,1.11,0.02,0.005,0.1,0,2022-03-01 00:00:00
2,ADA,EUR,Y,10.0,1.13,0.03,0.0075,0.1,0,2022-03-01 00:00:00
55,BTC,EUR,N,15.0,38271.0,0.05,0.01,0.1,1,2022-04-19 18:38:49
39,BTC,EUR,Y,25.0,41200.0,0.03,0.005,0.1,0,2022-01-01 00:00:00
34,BTC,EUR,Y,25.0,41626.0,0.02,0.0025,0.1,4,2022-04-06 02:11:22
40,BTC,EUR,Y,25.0,42000.0,0.03,0.005,0.1,0,2022-01-01 00:00:00
41,BTC,EUR,Y,25.0,42420.0,0.03,0.005,0.1,0,2022-01-01 00:00:00
42,BTC,EUR,Y,25.0,42840.0,0.03,0.005,0.1,0,2022-01-01 00:00:00
52,DENT,EUR,N,20.0,0.0024536,0.035,0.0075,0.1,3,2022-04-18 19:21:25
13,DENT,EUR,Y,10.0,0.002728,0.03,0.005,0.1,3,2022-04-07 01:00:46
11,DENT,EUR,Y,10.0,0.0027374,0.02,0.005,0.1,13,2022-04-08 12:31:57
12,DENT,EUR,Y,10.0,0.0027699,0.03,0.0075,0.1,3,2022-04-06 18:38:44
10,DENT,EUR,Y,25.0,0.00283,0.04,0.0075,0.1,2,2022-04-06 10:50:53
9,DENT,EUR,Y,10.0,0.0029705,0.02,0.005,0.1,3,2022-04-06 02:11:15
49,ETH,EUR,N,15.0,2890.0,0.05,0.01,0.1,1,2022-04-20 15:34:29
37,ETH,EUR,Y,25.0,3030.0,0.04,0.0075,0.1,4,2022-04-06 02:11:22
54,HOT,EUR,N,20.0,0.0044719,0.05,0.01,0.1,3,2022-04-18 19:26:03
61,HOT,EUR,N,10.0,0.0044977,0.02,0.005,0.1,2,2022-04-18 19:20:27
62,HOT,EUR,N,15.0,0.0046,0.02,0.005,0.1,6,2022-04-19 02:40:41
59,HOT,EUR,N,15.0,0.0046683,0.02,0.005,0.1,4,2022-04-19 02:40:41
47,HOT,EUR,Y,25.0,0.0047205,0.025,0.005,0.1,1,2022-04-11 07:23:09
48,HOT,EUR,Y,10.0,0.00486,0.02,0.005,0.1,3,2022-04-11 00:21:51
63,HOT,EUR,Y,10.0,0.00496,0.02,0.005,0.1,0,2022-04-12 17:59:17
64,HOT,EUR,Y,10.0,0.00505,0.02,0.005,0.1,0,2022-04-12 17:59:17
22,HOT,EUR,Y,10.0,0.0052385,0.02,0.0075,0.1,9,2022-04-08 13:41:03
22,HOT,EUR,Y,25.0,0.0054,0.04,0.0075,0.1,0,2022-03-01 00:00:00
19,HOT,EUR,Y,15.0,0.005591,0.02,0.0025,0.1,3,2022-04-06 02:14:17
20,HOT,EUR,Y,10.0,0.0055974,0.02,0.005,0.1,1,2022-04-06 02:14:56
15,HOT,EUR,Y,15.0,0.0057997,0.0225,0.0025,0.1,16,2022-04-06 01:52:32
16,HOT,EUR,Y,15.0,0.0057997,0.025,0.005,0.1,14,2022-04-06 01:52:33
18,HOT,EUR,Y,15.0,0.0058019,0.0275,0.0075,0.1,4,2022-04-06 01:53:42
